symptom_iri	symptom_iri	method	score	doid_name	symptom_name	symptom_definition
http://purl.obolibrary.org/obo/SYMP_0000742	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	gum bleeding	Gum bleeding is a mouth symptom characterized by a copious discharge of blood from the blood vessels of the mucosal tissue that lies over the alveolar bone.
http://purl.obolibrary.org/obo/SYMP_0000741	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	nasal bleeding	
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.
http://purl.obolibrary.org/obo/SYMP_0000448	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	epistaxis	A nose symptom that involves a is loss of blood from the tissue lining the nose.
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/DOID_0050127	axiom	1.0	sinusitis	fatigue	A neurological and physiological symptom that is characterized by a weariness or exhaustion from labor, exertion, or stress.
http://purl.obolibrary.org/obo/SYMP_0000177	http://purl.obolibrary.org/obo/DOID_0050127	axiom	1.0	sinusitis	weakness	
http://purl.obolibrary.org/obo/SYMP_0000237	http://purl.obolibrary.org/obo/DOID_0050127	axiom	1.0	sinusitis	congestion	A respiratory system and chest symptom that is characterized by an excessive accumulation especially of blood or mucus.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050127	axiom	1.0	sinusitis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000614	http://purl.obolibrary.org/obo/DOID_0050127	axiom	1.0	sinusitis	cough	A respiratory system and chest symptom that is characterized by an explosive expulsion of air from the lungs acting as a protective mechanism to clear the air passages or as a symptom of pulmonary disturbance.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050129	axiom	1.0	secretory diarrhea	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050130	axiom	1.0	osmotic diarrhea	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0019180	http://purl.obolibrary.org/obo/DOID_0050130	axiom	1.0	osmotic diarrhea	constipation	Constipation is a feces and droppings symptom involving the abnormally delayed or infrequent passage of dry hardened feces. Constipation may be categorized into three subtypes: normal-transit, slow-transit, and pelvic floor dysfunction.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050131	axiom	1.0	motility-related diarrhea	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050132	axiom	1.0	inflammatory diarrhea	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050140	axiom	1.0	acute diarrhea	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000716	http://purl.obolibrary.org/obo/DOID_0050145	axiom	1.0	adenoiditis	swelling symptom	
http://purl.obolibrary.org/obo/SYMP_0000493	http://purl.obolibrary.org/obo/DOID_0050145	axiom	1.0	adenoiditis	dysphagia	
http://purl.obolibrary.org/obo/SYMP_0000099	http://purl.obolibrary.org/obo/DOID_0050145	axiom	1.0	adenoiditis	pain	A sensation perception that is characterized by an unpleasant sensation that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual, confined to one area or spread over the entire body.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050150	axiom	1.0	Pontiac fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050150	axiom	1.0	Pontiac fever	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0000493	http://purl.obolibrary.org/obo/DOID_0050152	axiom	1.0	aspiration pneumonia	dysphagia	
http://purl.obolibrary.org/obo/SYMP_0000603	http://purl.obolibrary.org/obo/DOID_0050152	axiom	1.0	aspiration pneumonia	tachypnea	A respiratory abnormality that is characterized by an increased rate of respiration and shallow breathing.
http://purl.obolibrary.org/obo/SYMP_0000178	http://purl.obolibrary.org/obo/DOID_0050157	axiom	1.0	cryptogenic organizing pneumonia	weight loss	A weight symptom that is characterized by a reduction of the total body mass, by a mean loss of fluid, body fat (adipose tissue), or lean mass (namely bone mineral deposits, muscle, tendon, and other connective tissue). Weight loss can either occur unintentionally because of malnourishment or an underlying disease.
http://purl.obolibrary.org/obo/SYMP_0000061	http://purl.obolibrary.org/obo/DOID_0050157	axiom	1.0	cryptogenic organizing pneumonia	inflammation	Inflammation is a general symptom where there is a local response to cellular injury that is marked by capillary dilatation, leukocytic infiltration, redness, heat, pain, swelling, and often loss of function and that serves as a mechanism initiating the elimination of noxious agents and of damaged tissue.
http://purl.obolibrary.org/obo/SYMP_0000614	http://purl.obolibrary.org/obo/DOID_0050157	axiom	1.0	cryptogenic organizing pneumonia	cough	A respiratory system and chest symptom that is characterized by an explosive expulsion of air from the lungs acting as a protective mechanism to clear the air passages or as a symptom of pulmonary disturbance.
http://purl.obolibrary.org/obo/SYMP_0000614	http://purl.obolibrary.org/obo/DOID_0050159	axiom	1.0	lymphoid interstitial pneumonia	cough	A respiratory system and chest symptom that is characterized by an explosive expulsion of air from the lungs acting as a protective mechanism to clear the air passages or as a symptom of pulmonary disturbance.
http://purl.obolibrary.org/obo/SYMP_0019153	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	dyspnea	A respiratory abnormality that is characterized by difficult or labored respiration.
http://purl.obolibrary.org/obo/SYMP_0000187	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	tiredness	A fatigue that is characterized by a feeling of a lessened capacity for work and reduced efficiency of accomplishment, usually accompanied by a sense of weariness and fatigue.
http://purl.obolibrary.org/obo/SYMP_0020031	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	chest discomfort	A respiratory system and chest symptom that is characterized by pain, pressure, tightness, or other discomfort originating in or radiating to the chest, which constitutes an important indicator of potentially serious cardiac or cardiovascular disorders.
http://purl.obolibrary.org/obo/SYMP_0020055	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	pharynx inflammation	
http://purl.obolibrary.org/obo/SYMP_0000614	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	cough	A respiratory system and chest symptom that is characterized by an explosive expulsion of air from the lungs acting as a protective mechanism to clear the air passages or as a symptom of pulmonary disturbance.
http://purl.obolibrary.org/obo/SYMP_0000879	http://purl.obolibrary.org/obo/DOID_0050160	axiom	1.0	inhalation anthrax	low-grade fever	A mild fever that is characterized by a fever that does not exceed 38.5 degrees Celsius (101.3 degrees Fahrenheit).
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050174	axiom	1.0	Kunjin encephalitis	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0000075	http://purl.obolibrary.org/obo/DOID_0050174	axiom	1.0	Kunjin encephalitis	lethargy	A fatigue that is characterized by abnormal drowsiness.
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_0050174	axiom	1.0	Kunjin encephalitis	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050174	axiom	1.0	Kunjin encephalitis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000030	http://purl.obolibrary.org/obo/DOID_0050175	axiom	1.0	tick-borne encephalitis	paralysis	A nervous system symptom that is characterized by a complete or partial loss of function especially when involving the power of motion or of sensation in any part of the body.
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_0050175	axiom	1.0	tick-borne encephalitis	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_0050175	axiom	1.0	tick-borne encephalitis	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.
http://purl.obolibrary.org/obo/SYMP_0000765	http://purl.obolibrary.org/obo/DOID_0050175	axiom	1.0	tick-borne encephalitis	sensory disturbance	
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0019145	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	vomiting	Vomiting is a digestive system symptom characterized by throwing up the stomach contents.
http://purl.obolibrary.org/obo/SYMP_0000162	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	tremor	Tremor is a generial symptom characterized by a trembling or shaking usually from physical weakness, emotional stress, or disease.
http://purl.obolibrary.org/obo/SYMP_0000030	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	paralysis	A nervous system symptom that is characterized by a complete or partial loss of function especially when involving the power of motion or of sensation in any part of the body.
http://purl.obolibrary.org/obo/SYMP_0000383	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	stiff neck	
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.
http://purl.obolibrary.org/obo/SYMP_0000124	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	seizure	
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000605	http://purl.obolibrary.org/obo/DOID_0050179	axiom	1.0	Powassan encephalitis	coma	An alteration of consciousness that is characterized by a deep state of prolonged unconsciousness in which a person cannot be awakened, fails to respond normally to painful stimuli, light, or sound, lacks a normal wake-sleep cycle and does not initiate voluntary actions.
http://purl.obolibrary.org/obo/SYMP_0000900	http://purl.obolibrary.org/obo/DOID_0050185	axiom	1.0	erythema multiforme	allergic reaction	An immune system symptom that is characterized by sensitivities to substances called allergens.
http://purl.obolibrary.org/obo/SYMP_0000482	http://purl.obolibrary.org/obo/DOID_0050192	axiom	1.0	Nipah virus encephalitis	alteration of consciousness	A neurological and physiological symptom that is characterized by any condition which is significantly different from a normal waking state.
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_0050192	axiom	1.0	Nipah virus encephalitis	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_0050192	axiom	1.0	Nipah virus encephalitis	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.
http://purl.obolibrary.org/obo/SYMP_0000610	http://purl.obolibrary.org/obo/DOID_0050192	axiom	1.0	Nipah virus encephalitis	dizziness	A  balance symptom that is characterized by a sensation of unsteadiness accompanied by a feeling of movement within the head.
http://purl.obolibrary.org/obo/SYMP_0000605	http://purl.obolibrary.org/obo/DOID_0050192	axiom	1.0	Nipah virus encephalitis	coma	An alteration of consciousness that is characterized by a deep state of prolonged unconsciousness in which a person cannot be awakened, fails to respond normally to painful stimuli, light, or sound, lacks a normal wake-sleep cycle and does not initiate voluntary actions.
http://purl.obolibrary.org/obo/SYMP_0019176	http://purl.obolibrary.org/obo/DOID_0050194	axiom	1.0	Argentine hemorrhagic fever	malaise	A neurological and physiological symptom that is characterized by an indefinite feeling of debility or lack of health, often indicative of or accompanying the onset of an illness.
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/DOID_0050194	axiom	1.0	Argentine hemorrhagic fever	fatigue	A neurological and physiological symptom that is characterized by a weariness or exhaustion from labor, exertion, or stress.
http://purl.obolibrary.org/obo/SYMP_0020060	http://purl.obolibrary.org/obo/DOID_0050194	axiom	1.0	Argentine hemorrhagic fever	low white blood cell count	
http://purl.obolibrary.org/obo/SYMP_0000114	http://purl.obolibrary.org/obo/DOID_0050194	axiom	1.0	Argentine hemorrhagic fever	thrombocytopenia	
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050194	axiom	1.0	Argentine hemorrhagic fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/DOID_0050195	axiom	1.0	Bolivian hemorrhagic fever	fatigue	A neurological and physiological symptom that is characterized by a weariness or exhaustion from labor, exertion, or stress.
http://purl.obolibrary.org/obo/SYMP_0000867	http://purl.obolibrary.org/obo/DOID_0050195	axiom	1.0	Bolivian hemorrhagic fever	gastrointestinal bleeding	A digestive system symptom characterized by bleeding from one or more of the areas of the digestive or gastrointestinal (GI) tract that includes the espophagus, stomach, small intestine, large intestine or colon, rectum and anus.
http://purl.obolibrary.org/obo/SYMP_0000064	http://purl.obolibrary.org/obo/DOID_0050195	axiom	1.0	Bolivian hemorrhagic fever	joint pain	A pain that is characterized by a pain situated, or occurring, in or around a joint.
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_0050195	axiom	1.0	Bolivian hemorrhagic fever	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.
