symp_iri	doid_iri	disease_name	symptom_name	symptom_definition	method	score
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_1142	alternating exotropia	backache	A pain that is characterized by occurring in the lower back.	cosine	0.639789342880249
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_13865	facial neuralgia	backache	A pain that is characterized by occurring in the lower back.	cosine	0.6673468947410583
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_3227	tracheal stenosis	backache	A pain that is characterized by occurring in the lower back.	cosine	0.6639071106910706
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_4025	obsolete steatitis	backache	A pain that is characterized by occurring in the lower back.	cosine	0.6337308287620544
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_607	paraplegia	backache	A pain that is characterized by occurring in the lower back.	cosine	0.6924571990966797
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_0061030	hemophilia	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	cosine	0.686802864074707
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_1247	blood coagulation disease	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	cosine	0.6488448977470398
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_484	vascular hemostatic disease	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	cosine	0.6281648278236389
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_7847	obsolete vascular hemorrhagic disorder	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	cosine	0.6214129328727722
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_866	vein disease	bleeding	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	cosine	0.6138817667961121
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_11766	blind hypotensive eye	blindness		cosine	0.8474133014678955
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_11831	cortical blindness	blindness		cosine	0.9053366780281067
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_12668	abnormal retinal correspondence	blindness		cosine	0.8229641318321228
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_13912	acquired color blindness	blindness		cosine	0.8403059840202332
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_1432	blindness	blindness		cosine	0.8505914211273193
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_0080511	epidermolysis bullosa simplex generalized type	blister	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	cosine	0.6491307020187378
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_2731	vesiculobullous skin disease	blister	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	cosine	0.6967148184776306
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_4603	epidermolytic hyperkeratosis	blister	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	cosine	0.6280211210250854
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_8502	bullous skin disease	blister	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	cosine	0.6511584520339966
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_8549	chronic ulcer of skin	blister	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	cosine	0.6226150989532471
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_11371	functional diarrhea	obsolete bloody diarrhea		cosine	0.8382319808006287
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_11606	obsolete ileal disease	obsolete bloody diarrhea		cosine	0.7027473449707031
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_2770	obsolete diaper rash	obsolete bloody diarrhea		cosine	0.7301110625267029
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_8448	intestinal impaction	obsolete bloody diarrhea		cosine	0.7037557363510132
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_8530	obsolete toxic gastroenteritis and colitis	obsolete bloody diarrhea		cosine	0.71938157081604
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_1142	alternating exotropia	obsolete bloody exudate		cosine	0.7940427660942078
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_1913	obsolete alternating exotropia with A pattern	obsolete bloody exudate		cosine	0.7423391938209534
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_8205	obsolete alloimmunization	obsolete bloody exudate		cosine	0.805655300617218
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_9888	alternating esotropia	obsolete bloody exudate		cosine	0.7419337034225464
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_9889	obsolete alternating esotropia with A pattern	obsolete bloody exudate		cosine	0.75534987449646
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_10034	eye accommodation disease	blurred vision	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	cosine	0.7755208611488342
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_11782	astigmatism	blurred vision	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	cosine	0.7987130284309387
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_11830	myopia	blurred vision	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	cosine	0.7778658866882324
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_1432	blindness	blurred vision	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	cosine	0.7814947962760925
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_287	obsolete vision disorder	blurred vision	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	cosine	0.7514804601669312
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_11247	disseminated intravascular coagulation	obsolete capillary leakage		cosine	0.5953226685523987
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_12338	obsolete redundant prepuce and phimosis	obsolete capillary leakage		cosine	0.6150833964347839
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_1271	capillary disease	obsolete capillary leakage		cosine	0.6076675653457642
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_14400	capillary leak syndrome	obsolete capillary leakage		cosine	0.7218532562255859
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_2286	capillary lymphangioma	obsolete capillary leakage		cosine	0.5870268940925598
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_0050700	cardiomyopathy	obsolete cardiomyocyte destruction		cosine	0.7365858554840088
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_0110325	obsolete hypertrophic cardiomyopathy 19	obsolete cardiomyocyte destruction		cosine	0.7893691658973694
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_12928	obsolete nutritional cardiomyopathy	obsolete cardiomyocyte destruction		cosine	0.7330878973007202
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_12936	obsolete secondary cardiomyopathy	obsolete cardiomyocyte destruction		cosine	0.7724717259407043
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_14090	obsolete heartwater disease	obsolete cardiomyocyte destruction		cosine	0.6910616159439087
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_1142	alternating exotropia	giddiness		cosine	0.7697810530662537
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_11988	conjunctival concretion	giddiness		cosine	0.8021429181098938
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_1406	iritis	giddiness		cosine	0.7794849872589111
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_174	acanthoma	giddiness		cosine	0.7717040777206421
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_8205	obsolete alloimmunization	giddiness		cosine	0.7875504493713379
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_0080831	subjective cognitive decline	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	cosine	0.5840734839439392
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_10935	dissociative disorder	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	cosine	0.5719538331031799
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_12380	obsolete predominant disturbance of consciousness	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	cosine	0.6292233467102051
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_1307	dementia	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	cosine	0.5717831254005432
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_4267	akinetic mutism	confusion	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	cosine	0.5760525465011597
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_11634	myxedema	crinkle		cosine	0.794823944568634
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_11988	conjunctival concretion	crinkle		cosine	0.7843796014785767
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_3612	retinitis	crinkle		cosine	0.7616013288497925
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_607	paraplegia	crinkle		cosine	0.7462064623832703
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_9835	refractive error	crinkle		cosine	0.7560262680053711
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_10042	obsolete regressing skin melanoma	darkening of skin		cosine	0.7362840175628662
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_12860	obsolete non-neoplastic nevus of skin	darkening of skin		cosine	0.7384195327758789
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_2086	obsolete blue nevus	darkening of skin		cosine	0.7554946541786194
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_2437	obsolete skin compound nevus	darkening of skin		cosine	0.7439913153648376
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_609	obsolete skin abnormality	darkening of skin		cosine	0.8367804884910583
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_0080783	obsolete X-linked sensorineural deafness	deafness		cosine	0.8464038372039795
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_12113	obsolete nerve deafness	deafness		cosine	0.8633767366409302
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_12226	obsolete hearing disease	deafness		cosine	0.8214955925941467
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_14727	obsolete dominant cogenital severe sensorineural deafness	deafness		cosine	0.8247688412666321
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_14739	obsolete progressive high-tone neural deafness	deafness		cosine	0.8328201770782471
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0014667	disease of metabolism	dehydration	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	cosine	0.6337738633155823
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0050013	obsolete carbohydrate metabolism disease	dehydration	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	cosine	0.6330223679542542
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0081062	obsolete diabetes	dehydration	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	cosine	0.6224192380905151
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_2833	dehydration polycythemia	dehydration	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	cosine	0.7460598349571228
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_2978	carbohydrate metabolic disorder	dehydration	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	cosine	0.6147092580795288
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_1741	obsolete drug-induced psychotic disease with delusion	delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	cosine	0.64485102891922
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_2573	obsolete drug-induced delirium	delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	cosine	0.7711559534072876
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_778	delusional disorder	delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	cosine	0.6936856508255005
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_8639	obsolete alcohol withdrawal delirium	delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	cosine	0.6960734724998474
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_8645	subacute delirium	delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	cosine	0.7461429834365845
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_12294	atypical depressive disorder	depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	cosine	0.7158088684082031
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1470	major depressive disorder	depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	cosine	0.7225937247276306
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1595	melancholic depression	depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	cosine	0.6946789026260376
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1596	depressive disorder	depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	cosine	0.8217732310295105
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_844	obsolete chronic depressive disorder	depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	cosine	0.6795411705970764
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_10935	dissociative disorder	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	cosine	0.6451830267906189
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_11038	depersonalization disorder	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	cosine	0.6261801719665527
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_12380	obsolete predominant disturbance of consciousness	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	cosine	0.6253450512886047
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_14524	senile degeneration of brain	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	cosine	0.6206541657447815
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_792	obsolete disorganized schizophrenia	disorientation	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	cosine	0.6227473020553589
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_0050847	sleep apnea	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.	cosine	0.5473714470863342
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_535	sleep disorder	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.	cosine	0.6195524334907532
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_536	obsolete persistent disorder of initiating or maintaining sleep	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.	cosine	0.5431959629058838
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_8544	chronic fatigue syndrome	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.	cosine	0.5440131425857544
http://purl.obolibrary.org/obo/SYMP_0000024	http://purl.obolibrary.org/obo/DOID_8619	recurrent hypersomnia	drowsiness	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.	cosine	0.5523384213447571
http://purl.obolibrary.org/obo/SYMP_0000025	http://purl.obolibrary.org/obo/DOID_0050399	obsolete Bordetella pertussis whooping cough	dry cough	A cough that is characterized by a lack of accompanied phlegm production.	cosine	0.646515965461731
http://purl.obolibrary.org/obo/SYMP_0000025	http://purl.obolibrary.org/obo/DOID_12323	cough variant asthma	dry cough	A cough that is characterized by a lack of accompanied phlegm production.	cosine	0.7710064053535461
http://purl.obolibrary.org/obo/SYMP_0000025	http://purl.obolibrary.org/obo/DOID_12997	Phlegmonous dacryocystitis	dry cough	A cough that is characterized by a lack of accompanied phlegm production.	cosine	0.6090047955513
http://purl.obolibrary.org/obo/SYMP_0000025	http://purl.obolibrary.org/obo/DOID_13192	obsolete pulmonary congestion and hypostasis	dry cough	A cough that is characterized by a lack of accompanied phlegm production.	cosine	0.5957875847816467
http://purl.obolibrary.org/obo/SYMP_0000025	http://purl.obolibrary.org/obo/DOID_13820	obsolete congenital pneumonia	dry cough	A cough that is characterized by a lack of accompanied phlegm production.	cosine	0.5978983640670776
http://purl.obolibrary.org/obo/SYMP_0000026	http://purl.obolibrary.org/obo/DOID_0050532	obsolete epidermal nevus	obsolete epidermal proliferation		cosine	0.7579634785652161
http://purl.obolibrary.org/obo/SYMP_0000026	http://purl.obolibrary.org/obo/DOID_2433	epidermal appendage tumor	obsolete epidermal proliferation		cosine	0.7889660596847534
http://purl.obolibrary.org/obo/SYMP_0000026	http://purl.obolibrary.org/obo/DOID_4323	epidermolytic acanthoma	obsolete epidermal proliferation		cosine	0.7804200053215027
http://purl.obolibrary.org/obo/SYMP_0000026	http://purl.obolibrary.org/obo/DOID_5507	clear cell ependymoma	obsolete epidermal proliferation		cosine	0.7636848092079163
http://purl.obolibrary.org/obo/SYMP_0000026	http://purl.obolibrary.org/obo/DOID_609	obsolete skin abnormality	obsolete epidermal proliferation		cosine	0.8049361705780029
