iri	id	name	exact_synonym	related_synonym	definition
http://purl.obolibrary.org/obo/SYMP_0000040	SYMP:0000040	hematuria	None	None	A urinary system symptom that is characterized by the presence of blood or blood cells in the urine.
http://purl.obolibrary.org/obo/SYMP_0000041	SYMP:0000041	hemorrhage	None	None	A cardiovascular system symptom that is characterized by an acute loss of blood from a damaged blood vessel.
http://purl.obolibrary.org/obo/SYMP_0000042	SYMP:0000042	obsolete hemorrhagic enteritis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000043	SYMP:0000043	obsolete hemorrhagic meningitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000044	SYMP:0000044	obsolete hemorrhagic thoracic lymphadenitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000045	SYMP:0000045	hepatic necrosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000046	SYMP:0000046	hepatitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000047	SYMP:0000047	hepatosplenomegaly	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000048	SYMP:0000048	obsolete high fever	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000049	SYMP:0000049	obsolete hind limb paralysis	hindlimb paralysis	None	None
http://purl.obolibrary.org/obo/SYMP_0000050	SYMP:0000050	obsolete hunched posture	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000051	SYMP:0000051	hydrocephalus	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000052	SYMP:0000052	obsolete hyperemic liver	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000053	SYMP:0000053	obsolete hyperemic spleen	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000054	SYMP:0000054	hypergammaglobulinemia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000055	SYMP:0000055	obsolete hyperkeratotic plaques of surface of foot	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000056	SYMP:0000056	hyperpigmentation	None	None	A skin and integumentary tissue symptom that is characterized by an excess pigmentation in a bodily part or tissue, as the skin.
http://purl.obolibrary.org/obo/SYMP_0000057	SYMP:0000057	obsolete hyperplastic alveolar nodules	han	None	None
http://purl.obolibrary.org/obo/SYMP_0000058	SYMP:0000058	hyperreflexia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000059	SYMP:0000059	hypotension	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000060	SYMP:0000060	obsolete ill-thrift	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000061	SYMP:0000061	inflammation	None	None	Inflammation is a general symptom where there is a local response to cellular injury that is marked by capillary dilatation, leukocytic infiltration, redness, heat, pain, swelling, and often loss of function and that serves as a mechanism initiating the elimination of noxious agents and of damaged tissue.
http://purl.obolibrary.org/obo/SYMP_0000062	SYMP:0000062	obsolete inflammation of meninges	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000063	SYMP:0000063	intestinal hemorrhage	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000064	SYMP:0000064	joint pain	arthralgia	None	A pain that is characterized by a pain situated, or occurring, in or around a joint.
http://purl.obolibrary.org/obo/SYMP_0000065	SYMP:0000065	obsolete joint swelling	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000066	SYMP:0000066	keratotic nodules of the skin	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000067	SYMP:0000067	obsolete lameness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000068	SYMP:0000068	laryngitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000069	SYMP:0000069	laryngotracheitis	larynx and trachea inflammation	None	None
http://purl.obolibrary.org/obo/SYMP_0000070	SYMP:0000070	lesions in myocardium	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000071	SYMP:0000071	obsolete lesions in respiratory tract	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000072	SYMP:0000072	obsolete lesions in spleen	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000073	SYMP:0000073	obsolete lesions in thymus	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000074	SYMP:0000074	obsolete lesions in swim bladder	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000075	SYMP:0000075	lethargy	None	None	A fatigue that is characterized by abnormal drowsiness.
http://purl.obolibrary.org/obo/SYMP_0000076	SYMP:0000076	listlessness	languid	None	None
http://purl.obolibrary.org/obo/SYMP_0000077	SYMP:0000077	obsolete localized cutaneous lesions	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000078	SYMP:0000078	obsolete loose droppings	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000079	SYMP:0000079	coordination symptom	None	None	A nervous system symptom that is characterized by the harmonious functioning of interrelated organs and body parts; in particular the working together of muscle groups in the execution of complicated movements.
http://purl.obolibrary.org/obo/SYMP_0000080	SYMP:0000080	obsolete loss of coordination	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000081	SYMP:0000081	obsolete low grade fever	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000082	SYMP:0000082	lesions in lung	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000083	SYMP:0000083	lymphangitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000084	SYMP:0000084	lymphoblastoma	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000085	SYMP:0000085	obsolete lymphocytic hyperplasia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000086	SYMP:0000086	lymphopenia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000087	SYMP:0000087	massive hepatic necrosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000088	SYMP:0000088	obsolete massive lymphadenopathy	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000089	SYMP:0000089	meningoencephalitis	None	None	A nervous system symptom that is characterized by an inflammation of the brain and meninges.
http://purl.obolibrary.org/obo/SYMP_0000090	SYMP:0000090	encephalitis	None	None	A nervous system symptom that is characterized by inflammation of the brain tissue, which is typically caused by a viral infection, but it may also be caused by bacterial or parasitic infections, cancer, or certain drugs or toxins.
http://purl.obolibrary.org/obo/SYMP_0000091	SYMP:0000091	mild encephalitis	None	None	An encephalitis that is not intense (not severe).
http://purl.obolibrary.org/obo/SYMP_0000092	SYMP:0000092	skin lesion	None	None	A skin and integumentary tissue symptom that is characterized by an abnormal change in structure of the skin that is especially circumscribed and well defined due to injury or disease.
http://purl.obolibrary.org/obo/SYMP_0000093	SYMP:0000093	muscle cramp	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000094	SYMP:0000094	muscle weakness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000095	SYMP:0000095	myocarditis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000096	SYMP:0000096	obsolete nasal discharge	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000097	SYMP:0000097	obsolete neck swelling	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000098	SYMP:0000098	nephritis	None	None	A urinary system symptom that is characterized by the acute or chronic inflammation of the kidney affecting the structure (as of the glomerulus or parenchyma) and caused by infection, a degenerative process, or vascular disease.
http://purl.obolibrary.org/obo/SYMP_0000099	SYMP:0000099	pain	None	None	A sensation perception that is characterized by an unpleasant sensation that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual, confined to one area or spread over the entire body.
http://purl.obolibrary.org/obo/SYMP_0000100	SYMP:0000100	lesions in pancreas	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000101	SYMP:0000101	obsolete partial paralysis	paresis	None	None
http://purl.obolibrary.org/obo/SYMP_0000102	SYMP:0000102	peritonitis	None	None	A skin and integumentary tissue symptom that is characterized by an inflammation of the peritoneum.
http://purl.obolibrary.org/obo/SYMP_0000103	SYMP:0000103	obsolete persistent lymphocytosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000104	SYMP:0000104	obsolete petechial hemorrhages	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000105	SYMP:0000105	obsolete photosensitivity	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000106	SYMP:0000106	plasmacytosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000107	SYMP:0000107	pleural effusion	None	None	A skin and integumentary tissue symptom that is characterized by an exudation of fluid from the blood or lymph into a pleural cavity.
http://purl.obolibrary.org/obo/SYMP_0000108	SYMP:0000108	obsolete portal hepatitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000109	SYMP:0000109	mouth papules	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000110	SYMP:0000110	obsolete proliferative mouth papules	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000111	SYMP:0000111	obsolete proliferative skin lesions	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000112	SYMP:0000112	tracheitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000113	SYMP:0000113	obsolete proliferative tracheitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000114	SYMP:0000114	thrombocytopenia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000115	SYMP:0000115	obsolete prolonged thrombocytopenia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000116	SYMP:0000116	prostration	None	None	Prostration is a general symptom characterized by complete physical or mental exhaustion.
http://purl.obolibrary.org/obo/SYMP_0000117	SYMP:0000117	obsolete pustular skin lesions	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000118	SYMP:0000118	rales	crepitations	None	An abnormal chest sound that is characterized by the clicking, rattling, or crackling noises heard on auscultation of (listening to) the lung with a stethoscope during inhalation. The sounds are caused by the 'popping open' of small airways and alveoli collapsed by fluid, exudate, or lack of aeration during expiration. The word 'rales' derives from the French word rale meaning 'rattle'. Rales can be heard in patients with pneumonia, atelectasis, pulmonary fibrosis, acute bronchitis, or bronchiectasis. Pulmonary edema secondary to left-sided congestive heart failure can also cause rales.
http://purl.obolibrary.org/obo/SYMP_0000119	SYMP:0000119	obsolete reddening	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000120	SYMP:0000120	obsolete retinal inflammation	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000121	SYMP:0000121	obsolete rhinitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000122	SYMP:0000122	obsolete salivary gland swelling	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000123	SYMP:0000123	obsolete sclerodermoid plaques	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000124	SYMP:0000124	seizure	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000125	SYMP:0000125	liver inflammation	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000126	SYMP:0000126	obsolete self-limiting liver inflammation	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000127	SYMP:0000127	severe backache	intense back pain	None	None
http://purl.obolibrary.org/obo/SYMP_0000128	SYMP:0000128	conjunctivitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000129	SYMP:0000129	severe conjunctivitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000130	SYMP:0000130	severe headache	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000131	SYMP:0000131	severe joint pain	intense join pain	None	A joint pain that is characterized by a pain situated, or occurring, in or around a joint that is intense (severe).
http://purl.obolibrary.org/obo/SYMP_0000132	SYMP:0000132	necrosis	None	None	Necrosis is a general symptom where death of a portion of tissue differentially affected by local injury (as loss of blood supply, corrosion, burning, or the local lesion of a disease).
http://purl.obolibrary.org/obo/SYMP_0000133	SYMP:0000133	severe necrosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000134	SYMP:0000134	sinusitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000135	SYMP:0000135	obsolete skin papules	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000136	SYMP:0000136	skin ulcer	None	None	A skin lesion that is characterized by a break in skin with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus.
http://purl.obolibrary.org/obo/SYMP_0000137	SYMP:0000137	obsolete slight cough	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000138	SYMP:0000138	obsolete slight pyrexia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000139	SYMP:0000139	sneezing	None	None	A respiratory system and chest symptom that is characterized by a sudden violent spasmodic audible expiration of breath through the nose and mouth especially as a reflex act following irritation of the nasal mucous membrane.
http://purl.obolibrary.org/obo/SYMP_0000140	SYMP:0000140	obsolete spastic paralysis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000141	SYMP:0000141	spasticity	None	None	A nervous system symptom that is characterized by an abnormal increase in muscle tone or stiffness of muscle, which might interfere with movement, speech, or be associated with discomfort or pain.
http://purl.obolibrary.org/obo/SYMP_0000142	SYMP:0000142	obsolete spleen hemorrhages	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000143	SYMP:0000143	obsolete spleen infiltrates	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000144	SYMP:0000144	obsolete bronchopneumonia	lobular pneumonia	None	A pneumonia that is characterized by acute inflammation of the bronchi, accompanied by inflamed patches in the nearby lobules of the lungs
http://purl.obolibrary.org/obo/SYMP_0000145	SYMP:0000145	obsolete splitting of tissues	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000146	SYMP:0000146	feces and droppings symptom	fecal	None	None
http://purl.obolibrary.org/obo/SYMP_0000147	SYMP:0000147	steatorrhea	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000148	SYMP:0000148	obsolete sudden onset of fever	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000149	SYMP:0000149	obsolete sudden onset of severe chills	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000150	SYMP:0000150	obsolete swollen cervical lymphnodes	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000151	SYMP:0000151	obsolete systemic infection	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000152	SYMP:0000152	obsolete systemic necrosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000153	SYMP:0000153	vasculitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000154	SYMP:0000154	obsolete systemic vasculitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000155	SYMP:0000155	obsolete tarry droppings	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000156	SYMP:0000156	thirst	None	None	Thirst is a general symptom characterized by a sensation of dryness in the mouth and throat associated with a desire for liquids.
http://purl.obolibrary.org/obo/SYMP_0000157	SYMP:0000157	thymus symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000158	SYMP:0000158	spleen symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000159	SYMP:0000159	obsolete thymus atrophy	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000160	SYMP:0000160	tracheobronchitis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000161	SYMP:0000161	obsolete transient fever	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000162	SYMP:0000162	tremor	None	None	Tremor is a generial symptom characterized by a trembling or shaking usually from physical weakness, emotional stress, or disease.
http://purl.obolibrary.org/obo/SYMP_0000163	SYMP:0000163	obsolete ulcerative dermal vesicles	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000164	SYMP:0000164	incoordination	lack of coordination	None	A coordination symptom that is characterized by a loss of complicated body movements, which may be caused by disease, injury, or toxins.
http://purl.obolibrary.org/obo/SYMP_0000165	SYMP:0000165	obsolete upper respiratory distress	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000166	SYMP:0000166	obsolete vascular lesions	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000167	SYMP:0000167	obsolete vascular necrosis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000168	SYMP:0000168	obsolete vein swelling	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000169	SYMP:0000169	obsolete vesicles on feet	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000170	SYMP:0000170	obsolete vesicles on hoof corona	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000171	SYMP:0000171	obsolete vesicles on mouth	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000172	SYMP:0000172	obsolete vesicles on teats	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000173	SYMP:0000173	obsolete vesicular lesions on lip border	cold sore	None	None
http://purl.obolibrary.org/obo/SYMP_0000174	SYMP:0000174	wasting	None	None	A nutrition, metabolism, and development symptom that is characterized by the unintended loss of weight and lean body tissue characteristic of many diseases (as cancer, tuberculosis, and AIDS).
http://purl.obolibrary.org/obo/SYMP_0000175	SYMP:0000175	obsolete watery diarrhea	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000176	SYMP:0000176	obsolete watery ocular discharge	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000177	SYMP:0000177	weakness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000178	SYMP:0000178	weight loss	loss of weight	None	A weight symptom that is characterized by a reduction of the total body mass, by a mean loss of fluid, body fat (adipose tissue), or lean mass (namely bone mineral deposits, muscle, tendon, and other connective tissue). Weight loss can either occur unintentionally because of malnourishment or an underlying disease.
http://purl.obolibrary.org/obo/SYMP_0000179	SYMP:0000179	obsolete wet droppings	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000180	SYMP:0000180	liver symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000181	SYMP:0000181	obsolete yellow liver	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000182	SYMP:0000182	bubo	buboes	None	None
http://purl.obolibrary.org/obo/SYMP_0000183	SYMP:0000183	muscle symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000184	SYMP:0000184	change in skin color	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000185	SYMP:0000185	weariness	None	None	A fatigue that is characterized by a feeling of exhaustion in strength, endurance, and vigor.
http://purl.obolibrary.org/obo/SYMP_0000186	SYMP:0000186	exhaustion	None	None	A fatigue that is characterized by a feeling of weariness (bodily or mental) or feeling of weakness.  Exhaustion is a shorter-lived form of fatigue that can be experienced emotionally, mentally, and physically.
http://purl.obolibrary.org/obo/SYMP_0000187	SYMP:0000187	tiredness	None	None	A fatigue that is characterized by a feeling of a lessened capacity for work and reduced efficiency of accomplishment, usually accompanied by a sense of weariness and fatigue.
http://purl.obolibrary.org/obo/SYMP_0000188	SYMP:0000188	abdominal discomfort	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000189	SYMP:0000189	postural reaction	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000190	SYMP:0000190	wheelbarrowing	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000191	SYMP:0000191	obsolete hemistanding	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000192	SYMP:0000192	obsolete hemiwalking	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000193	SYMP:0000193	hopping	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000194	SYMP:0000194	conscious proprioception	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000195	SYMP:0000195	abnormal hemiwalking hemistanding	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000196	SYMP:0000196	reproductive system symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000197	SYMP:0000197	abortion	infectious abortion	None	A reproductive system symptom that is characterized by the expulsion of a fetus at any time before completion of pregnancy and is often due to infection.
http://purl.obolibrary.org/obo/SYMP_0000198	SYMP:0000198	miscarriage	None	None	A reproductive system symptom that is characterized by the spontaneous expulsion of a human fetus before it is viable and especially between the 12th and 28th weeks of gestation.
http://purl.obolibrary.org/obo/SYMP_0000199	SYMP:0000199	spontaneous abortion	None	None	An abortion that is characterized by the natural occurring expulsion of a nonviable fetus.
http://purl.obolibrary.org/obo/SYMP_0000200	SYMP:0000200	acute arthritis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000201	SYMP:0000201	acute meningoencephalitis	None	None	A meningoencephalitis that is characterized by a severe and sudden onset.
http://purl.obolibrary.org/obo/SYMP_0000202	SYMP:0000202	acute painful vision loss	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000203	SYMP:0000203	obsolete acute respiratory distress	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000204	SYMP:0000204	obsolete acute suppurative lesions	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000205	SYMP:0000205	salivary gland symptom	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000206	SYMP:0000206	acute suppurative parotiditis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000207	SYMP:0000207	afebrile	None	None	A fever that is characterized by the state of being free from fever.
http://purl.obolibrary.org/obo/SYMP_0000208	SYMP:0000208	anemia	anaemia	None	None
http://purl.obolibrary.org/obo/SYMP_0000209	SYMP:0000209	ischemia	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000210	SYMP:0000210	photophobia	light intolerance	None	None
http://purl.obolibrary.org/obo/SYMP_0000211	SYMP:0000211	asthenopia	eye weakness	None	None
http://purl.obolibrary.org/obo/SYMP_0000212	SYMP:0000212	eye strain	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000213	SYMP:0000213	agraphia	inability to write	None	An aphasia that is characterized by a pathological loss of the ability to write.
http://purl.obolibrary.org/obo/SYMP_0000214	SYMP:0000214	anomia	amnesic aphasia	None	An aphasia that is characterized by a severe problem with recalling words or names.
http://purl.obolibrary.org/obo/SYMP_0000215	SYMP:0000215	inability to comprehend speech	None	None	An aphasia that is characterized by a loss of ability to comprehend speech.
http://purl.obolibrary.org/obo/SYMP_0000216	SYMP:0000216	inability to speak	None	None	An aphasia that is characterized by a loss of ability to speak.
http://purl.obolibrary.org/obo/SYMP_0000217	SYMP:0000217	inability to form words	None	None	An aphasia that is characterized by a loss of ability to form words.
http://purl.obolibrary.org/obo/SYMP_0000218	SYMP:0000218	poor enunciation	None	None	An aphasia that is characterized by a loss of ability to properly enunciate words.
http://purl.obolibrary.org/obo/SYMP_0000219	SYMP:0000219	receptive aphasia	Wernicke's aphasia	None	An inability to comprehend speech that is characterized by an inability to understand spoken, written, or tactile speech symbols that results from damage (as by a brain lesion) to an area of the brain (as Wernicke's area) concerned with language.
http://purl.obolibrary.org/obo/SYMP_0000220	SYMP:0000220	areflexia	absence of neurological reflexes	None	None
http://purl.obolibrary.org/obo/SYMP_0000221	SYMP:0000221	absence of knee jerk reflex	None	None	None
