symp_iri	doid_iri	symptom_name	disease_name	symptom_definition	disease_definition	method	score
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050953	ataxia	X-linked hereditary ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	A hereditary ataxia that is characterized by X-linked inheritance.	cosine	0.7312625050544739
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_1142	backache	alternating exotropia	A pain that is characterized by occurring in the lower back.		cosine	0.639789342880249
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_13865	backache	facial neuralgia	A pain that is characterized by occurring in the lower back.		cosine	0.6673468947410583
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_3227	backache	tracheal stenosis	A pain that is characterized by occurring in the lower back.		cosine	0.6639071106910706
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_4025	backache	obsolete steatitis	A pain that is characterized by occurring in the lower back.		cosine	0.6337308287620544
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_607	backache	paraplegia	A pain that is characterized by occurring in the lower back.		cosine	0.6924571990966797
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_0061030	bleeding	hemophilia	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	A blood coagulation disease characterized by spontaneous hemorrhage or prolonged bleeding.	cosine	0.686802864074707
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_1247	bleeding	blood coagulation disease	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	A hematopoietic system disease that is characterized by abnormal blood clotting or bleeding.	cosine	0.6488448977470398
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_484	bleeding	vascular hemostatic disease	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.		cosine	0.6281648278236389
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_7847	bleeding	obsolete vascular hemorrhagic disorder	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.		cosine	0.6214129328727722
http://purl.obolibrary.org/obo/SYMP_0000007	http://purl.obolibrary.org/obo/DOID_866	bleeding	vein disease	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.	A vascular disease that is located in a vein.	cosine	0.6138817667961121
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_11766	blindness	blind hypotensive eye			cosine	0.8474133014678955
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_11831	blindness	cortical blindness			cosine	0.9053366780281067
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_12668	blindness	abnormal retinal correspondence			cosine	0.8229641318321228
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_13912	blindness	acquired color blindness			cosine	0.8403059840202332
http://purl.obolibrary.org/obo/SYMP_0000008	http://purl.obolibrary.org/obo/DOID_1432	blindness	blindness		An eye disease characterized by a lack or loss of vision.	cosine	0.8505914211273193
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_0080511	blister	epidermolysis bullosa simplex generalized type	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	An epidermolysis bullosa simplex that is characterized by widespread blisters that appear at birth or in early infancy.	cosine	0.6491307020187378
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_2731	blister	vesiculobullous skin disease	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	A bullous skin disease that is characterized by fluid filled blisters.	cosine	0.6967148184776306
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_4603	blister	epidermolytic hyperkeratosis	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	An ichthyosis that is characterized by generalized erythema, skin blisters and skin fragility, manifested at birth.	cosine	0.6280211210250854
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_8502	blister	bullous skin disease	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.	A dermatitis that is characterized by blisters filled with a watery fluid, located in skin. The disease is associated with the amount of gluten ingested.	cosine	0.6511584520339966
http://purl.obolibrary.org/obo/SYMP_0000009	http://purl.obolibrary.org/obo/DOID_8549	blister	chronic ulcer of skin	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.		cosine	0.6226150989532471
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_11371	obsolete bloody diarrhea	functional diarrhea			cosine	0.8382319808006287
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_11606	obsolete bloody diarrhea	obsolete ileal disease			cosine	0.7027473449707031
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_2770	obsolete bloody diarrhea	obsolete diaper rash			cosine	0.7301110625267029
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_8448	obsolete bloody diarrhea	intestinal impaction			cosine	0.7037557363510132
http://purl.obolibrary.org/obo/SYMP_0000010	http://purl.obolibrary.org/obo/DOID_8530	obsolete bloody diarrhea	obsolete toxic gastroenteritis and colitis			cosine	0.71938157081604
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_1142	obsolete bloody exudate	alternating exotropia			cosine	0.7940427660942078
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_1913	obsolete bloody exudate	obsolete alternating exotropia with A pattern			cosine	0.7423391938209534
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_8205	obsolete bloody exudate	obsolete alloimmunization			cosine	0.805655300617218
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_9888	obsolete bloody exudate	alternating esotropia			cosine	0.7419337034225464
http://purl.obolibrary.org/obo/SYMP_0000011	http://purl.obolibrary.org/obo/DOID_9889	obsolete bloody exudate	obsolete alternating esotropia with A pattern			cosine	0.75534987449646
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_10034	blurred vision	eye accommodation disease	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	An eye disease that is characterized by decreased ability to change the optical power of the eye to maintain a clear image.	cosine	0.7755208611488342
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_11782	blurred vision	astigmatism	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	A refractive error characterized by the optics of the eye to focus a point object into a sharp focused image on the retina, has symptom blurred vision.	cosine	0.7987130284309387
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_11830	blurred vision	myopia	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	A refractive error characterized by the inability to see farther objects clearly.	cosine	0.7778658866882324
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_1432	blurred vision	blindness	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.	An eye disease characterized by a lack or loss of vision.	cosine	0.7814947962760925
http://purl.obolibrary.org/obo/SYMP_0000012	http://purl.obolibrary.org/obo/DOID_287	blurred vision	obsolete vision disorder	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.		cosine	0.7514804601669312
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_11247	obsolete capillary leakage	disseminated intravascular coagulation			cosine	0.5953226685523987
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_12338	obsolete capillary leakage	obsolete redundant prepuce and phimosis			cosine	0.6150833964347839
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_1271	obsolete capillary leakage	capillary disease		A vascular disease that is located in the capillaries.	cosine	0.6076675653457642
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_14400	obsolete capillary leakage	capillary leak syndrome		A capillary disease characterized by hypotension, hypoalbuminemia, and hemoconcentration resulting from fluid and protein leakage out of capillaries into surrounding tissues.	cosine	0.7218532562255859
http://purl.obolibrary.org/obo/SYMP_0000013	http://purl.obolibrary.org/obo/DOID_2286	obsolete capillary leakage	capillary lymphangioma			cosine	0.5870268940925598
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_0050700	obsolete cardiomyocyte destruction	cardiomyopathy		A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.	cosine	0.7365858554840088
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_0110325	obsolete cardiomyocyte destruction	obsolete hypertrophic cardiomyopathy 19			cosine	0.7893691658973694
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_12928	obsolete cardiomyocyte destruction	obsolete nutritional cardiomyopathy			cosine	0.7330878973007202
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_12936	obsolete cardiomyocyte destruction	obsolete secondary cardiomyopathy			cosine	0.7724717259407043
http://purl.obolibrary.org/obo/SYMP_0000014	http://purl.obolibrary.org/obo/DOID_14090	obsolete cardiomyocyte destruction	obsolete heartwater disease			cosine	0.6910616159439087
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_1142	giddiness	alternating exotropia			cosine	0.7697810530662537
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_11988	giddiness	conjunctival concretion			cosine	0.8021429181098938
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_1406	giddiness	iritis			cosine	0.7794849872589111
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_174	giddiness	acanthoma			cosine	0.7717040777206421
http://purl.obolibrary.org/obo/SYMP_0000015	http://purl.obolibrary.org/obo/DOID_8205	giddiness	obsolete alloimmunization			cosine	0.7875504493713379
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_0080831	confusion	subjective cognitive decline	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	A cognitive disorder that is characterized by the presence of significant and persistent cognitive complaints.	cosine	0.5840734839439392
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_10935	confusion	dissociative disorder	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	A disease of mental health in which the normally well-integrated functions of memory, identity, perception, or consciousness are separated (dissociated).	cosine	0.5719538331031799
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_12380	confusion	obsolete predominant disturbance of consciousness	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.		cosine	0.6292233467102051
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_1307	confusion	dementia	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	A cognitive disorder resulting from a loss of brain function affecting memory, thinking, language, judgement and behavior.	cosine	0.5717831254005432
http://purl.obolibrary.org/obo/SYMP_0000016	http://purl.obolibrary.org/obo/DOID_4267	confusion	akinetic mutism	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.	A brain disease characterized by marked reduction of nearly all motor functions including facial expressions, gestures and speech output, but with some degree of alertness.	cosine	0.5760525465011597
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_11634	crinkle	myxedema			cosine	0.794823944568634
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_11988	crinkle	conjunctival concretion			cosine	0.7843796014785767
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_3612	crinkle	retinitis			cosine	0.7616013288497925
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_607	crinkle	paraplegia			cosine	0.7462064623832703
http://purl.obolibrary.org/obo/SYMP_0000017	http://purl.obolibrary.org/obo/DOID_9835	crinkle	refractive error			cosine	0.7560262680053711
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_10042	darkening of skin	obsolete regressing skin melanoma			cosine	0.7362840175628662
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_12860	darkening of skin	obsolete non-neoplastic nevus of skin			cosine	0.7384195327758789
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_2086	darkening of skin	obsolete blue nevus			cosine	0.7554946541786194
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_2437	darkening of skin	obsolete skin compound nevus			cosine	0.7439913153648376
http://purl.obolibrary.org/obo/SYMP_0000018	http://purl.obolibrary.org/obo/DOID_609	darkening of skin	obsolete skin abnormality			cosine	0.8367804884910583
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_0080783	deafness	obsolete X-linked sensorineural deafness			cosine	0.8464038372039795
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_12113	deafness	obsolete nerve deafness			cosine	0.8633767366409302
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_12226	deafness	obsolete hearing disease			cosine	0.8214955925941467
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_14727	deafness	obsolete dominant cogenital severe sensorineural deafness			cosine	0.8247688412666321
http://purl.obolibrary.org/obo/SYMP_0000019	http://purl.obolibrary.org/obo/DOID_14739	deafness	obsolete progressive high-tone neural deafness			cosine	0.8328201770782471
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0014667	dehydration	disease of metabolism	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	A disease that involves errors in metabolic processes of building or degradation of molecules.	cosine	0.6337738633155823
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0050013	dehydration	obsolete carbohydrate metabolism disease	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.	cosine	0.6330223679542542
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_0081062	dehydration	obsolete diabetes	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	A glucose metabolism disease that is characterized by high blood glucose.	cosine	0.6224192380905151
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_2833	dehydration	dehydration polycythemia	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.		cosine	0.7460598349571228
http://purl.obolibrary.org/obo/SYMP_0000020	http://purl.obolibrary.org/obo/DOID_2978	dehydration	carbohydrate metabolic disorder	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.	An inherited metabolic disorder that affect the catabolism and anabolism of carbohydrates.	cosine	0.6147092580795288
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_1741	delirium	obsolete drug-induced psychotic disease with delusion	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.		cosine	0.64485102891922
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_2573	delirium	obsolete drug-induced delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.		cosine	0.7711559534072876
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_778	delirium	delusional disorder	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.	A psychotic disorder that involves an uncommon psychiatric condition in which patients present with circumscribed symptoms of non-bizarre delusions, but with the absence of prominent hallucinations and no thought disorder, mood disorder, or significant flattening effect.	cosine	0.6936856508255005
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_8639	delirium	obsolete alcohol withdrawal delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.		cosine	0.6960734724998474
http://purl.obolibrary.org/obo/SYMP_0000021	http://purl.obolibrary.org/obo/DOID_8645	delirium	subacute delirium	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.		cosine	0.7461429834365845
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_12294	depression	atypical depressive disorder	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	A mood disorder that is characterized by mood reactivity and positivity, significant weight gain or increased appetite, excessive sleep or somnolence, a sensation of heaviness in limbs known as leaden paralysis, and significant social impairment as a consequence of hypersensitivity to perceived interpersonal rejection.	cosine	0.7158088684082031
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1470	depression	major depressive disorder	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	A depressive disorder that is characterized by at least two weeks of loss of interest or pleasure in normally enjoyable activities or depressed mood along with additional cognitive or somatic impairments such as appetite or weight changes, sleep difficulties, psychomotor agitation or retardation, fatigue or loss of energy, diminished ability to think or concentrate, feelings of worthlessness or excessive guilt, and suicidality.	cosine	0.7225937247276306
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1595	depression	melancholic depression	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	A major depressive disorder characterized by near-complete absence of pleasure.	cosine	0.6946789026260376
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_1596	depression	depressive disorder	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.	A mood disorder characterized by persistent sadness, emptiness, or irritability and decreased ability to function.	cosine	0.8217732310295105
http://purl.obolibrary.org/obo/SYMP_0000022	http://purl.obolibrary.org/obo/DOID_844	depression	obsolete chronic depressive disorder	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.		cosine	0.6795411705970764
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_10935	disorientation	dissociative disorder	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	A disease of mental health in which the normally well-integrated functions of memory, identity, perception, or consciousness are separated (dissociated).	cosine	0.6451830267906189
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_11038	disorientation	depersonalization disorder	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.	A dissociative disorder in which the sufferer is affected by persistent or recurrent feelings of depersonalization and/or derealization.	cosine	0.6261801719665527
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_12380	disorientation	obsolete predominant disturbance of consciousness	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.		cosine	0.6253450512886047
http://purl.obolibrary.org/obo/SYMP_0000023	http://purl.obolibrary.org/obo/DOID_14524	disorientation	senile degeneration of brain	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.		cosine	0.6206541657447815
